Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
ctrl-l : Load,Compound,Nb (Å-2),μlabs/l [Å-2],μlinc [Å-1],d (Å),σfwhm (Å),ωdPS,Q (Å-1),R,dR,Rmodel,nrough,Nb (Å-2),mlabs/l [Å-2],mlinc [Å-1],d (Å),z (Å),Nb (Å-2),,R(1 – δd/d),R(1 ),R(1 + δd/d),Sum,104.6,,,,,,,,,,
,,,,,,,,,,,,,2.40E-06,3.50E-11,2.67E-10,0.33,549.09,1.94E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.34E-06,3.73E-11,2.17E-10,0.37,549.09,1.90E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.28E-06,3.97E-11,1.68E-10,0.43,552.90,1.90E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.22E-06,4.19E-11,1.20E-10,0.52,552.90,1.88E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.16E-06,4.41E-11,7.41E-11,0.71,556.71,1.88E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.11E-06,4.60E-11,3.37E-11,1.28,556.71,1.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.07E-06,4.73E-11,5.85E-12,1.72,560.53,1.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.07E-06,4.75E-11,2.00E-12,100.00,560.53,1.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,564.34,1.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,564.34,1.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,568.15,1.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,568.15,1.88E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,571.97,1.88E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,571.97,1.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,575.78,1.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,575.78,1.96E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,579.60,1.96E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,579.60,2.04E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,583.41,2.04E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,583.41,2.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,587.22,2.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,587.22,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,591.04,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,591.04,2.60E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,594.85,2.60E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,594.85,2.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,598.66,2.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,598.66,3.29E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,602.48,3.29E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,602.48,3.58E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,604.38,3.58E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,604.38,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,606.29,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,606.29,4.08E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,610.10,4.08E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,610.10,4.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,613.92,4.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,613.92,4.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,617.73,4.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,617.73,5.02E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,621.54,5.02E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,621.54,5.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,625.36,5.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,625.36,5.33E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,629.17,5.33E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,629.17,5.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,632.98,5.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,632.98,5.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,636.80,5.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,636.80,5.49E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,640.61,5.49E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,640.61,5.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,644.42,5.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,644.42,5.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,648.24,5.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,648.24,5.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,652.05,5.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,652.05,5.48E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,655.86,5.48E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,655.86,5.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,659.68,5.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,659.68,5.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,663.49,5.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,663.49,5.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,667.30,5.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,667.30,5.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,671.12,5.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,671.12,4.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,674.93,4.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,674.93,4.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,678.74,4.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,678.74,4.24E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,682.56,4.24E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,682.56,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,686.37,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,686.37,3.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,688.28,3.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,688.28,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,690.18,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,690.18,2.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,694.00,2.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,694.00,2.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,697.81,2.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,697.81,2.04E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,701.63,2.04E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,701.63,1.73E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,705.44,1.73E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,705.44,1.51E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,709.25,1.51E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,709.25,1.36E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,713.07,1.36E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,713.07,1.26E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,716.88,1.26E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,716.88,1.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,720.69,1.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,720.69,1.18E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,724.51,1.18E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,724.51,1.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,728.32,1.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,728.32,1.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,732.13,1.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,732.13,1.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,735.95,1.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,735.95,1.17E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,739.76,1.17E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,739.76,1.20E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,743.57,1.20E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,743.57,1.25E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,747.39,1.25E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,747.39,1.33E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,751.20,1.33E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,751.20,1.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,755.01,1.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,755.01,1.65E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,758.83,1.65E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,758.83,1.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,762.64,1.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,762.64,2.23E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,766.45,2.23E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,766.45,2.61E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,770.27,2.61E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,770.27,2.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,772.17,2.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,772.17,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,774.08,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,774.08,3.42E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,777.89,3.42E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,777.89,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,781.71,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,781.71,4.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,785.52,4.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,785.52,4.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,789.33,4.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,789.33,4.57E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,793.15,4.57E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,793.15,4.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,796.96,4.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,796.96,4.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,800.77,4.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,800.77,4.83E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,804.59,4.83E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,804.59,4.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,808.40,4.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,808.40,4.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,812.21,4.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,812.21,4.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,816.03,4.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,816.03,4.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,819.84,4.87E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,819.84,4.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,823.65,4.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,823.65,4.83E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,827.47,4.83E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,827.47,4.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,831.28,4.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,831.28,4.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,835.10,4.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,835.10,4.56E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,838.91,4.56E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,838.91,4.36E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,842.72,4.36E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,842.72,4.10E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,846.54,4.10E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,846.54,3.76E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,850.35,3.76E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,850.35,3.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,854.16,3.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,854.16,3.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,856.07,3.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,856.07,2.90E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,857.09,2.90E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,857.09,2.73E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,859.14,2.73E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,859.14,2.51E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,861.18,2.51E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,861.18,2.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,863.23,2.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,863.23,2.10E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,865.27,2.10E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,865.27,1.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,867.32,1.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,867.32,1.76E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,869.36,1.76E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,869.36,1.61E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,871.41,1.61E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,871.41,1.49E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,873.46,1.49E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,873.46,1.39E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,875.50,1.39E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,875.50,1.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,877.55,1.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,877.55,1.24E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,879.59,1.24E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,879.59,1.18E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,881.64,1.18E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,881.64,1.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,883.68,1.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,883.68,1.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,885.73,1.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,885.73,1.09E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,887.77,1.09E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,887.77,1.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,889.82,1.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,889.82,1.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,891.86,1.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,891.86,1.05E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,893.91,1.05E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,893.91,1.05E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,895.96,1.05E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,895.96,1.10E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,898.00,1.10E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,898.00,1.42E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,900.05,1.42E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,900.05,1.96E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.07,1.96E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.07,2.23E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.34,2.23E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.34,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.62,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.62,2.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.91,2.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,901.91,2.57E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,902.22,2.57E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,902.22,2.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,902.55,2.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,902.55,2.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,902.91,2.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,902.91,2.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,903.34,2.92E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,903.34,3.03E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,903.86,3.03E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,903.86,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,904.57,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,904.57,3.23E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,905.86,3.23E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,905.86,3.29E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,907.58,3.29E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,907.58,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,914.56,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,914.56,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,916.28,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,916.28,3.26E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,917.56,3.26E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,917.56,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,918.28,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,918.28,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,918.80,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,918.80,3.09E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,919.22,3.09E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,919.22,3.03E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,919.59,3.03E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,919.59,2.97E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,919.92,2.97E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,919.92,2.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,920.23,2.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,920.23,2.84E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,920.52,2.84E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,920.52,2.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,920.79,2.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,920.79,2.72E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.07,2.72E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.07,2.65E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.34,2.65E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.34,2.59E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.62,2.59E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.62,2.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.91,2.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,921.91,2.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,922.22,2.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,922.22,2.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,922.55,2.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,922.55,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,922.91,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,922.91,2.28E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,923.34,2.28E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,923.34,2.22E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,923.86,2.22E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,923.86,2.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,924.57,2.16E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,924.57,2.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,925.86,2.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,925.86,2.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,927.58,2.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,927.58,2.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1027.58,2.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
