Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
ctrl-l : Load,Compound,Nb (Å-2),μlabs/l [Å-2],μlinc [Å-1],d (Å),σfwhm (Å),ωdPS,Q (Å-1),R,dR,Rmodel,nrough,Nb (Å-2),mlabs/l [Å-2],mlinc [Å-1],d (Å),z (Å),Nb (Å-2),,R(1 – δd/d),R(1 ),R(1 + δd/d),Sum,29.6,,,,,,,,,,
,,,,,,,,9.367E-02,3.744E-05,2.294E-06,1.04E-05,,3.07E-06,0.00E+00,0.00E+00,1.52,340.80,3.75E-06,,3.87E-05,0.000,2.735E-05,2.17E-05,24.3,,,,,,,,,,
,,,,,,,,9.461E-02,4.015E-05,2.338E-06,1.57E-05,,3.12E-06,0.00E+00,0.00E+00,0.76,340.80,3.79E-06,,2.17E-05,0.000,2.554E-05,1.97E-05,60.0,,,,,,,,,,
,,,,,,,,9.556E-02,4.025E-05,2.208E-06,2.09E-05,,3.15E-06,0.00E+00,0.00E+00,0.90,342.61,3.79E-06,,1.08E-05,0.000,2.396E-05,1.91E-05,80.8,,,,,,,,,,
,,,,,,,,9.651E-02,3.718E-05,2.100E-06,2.37E-05,,3.20E-06,0.00E+00,0.00E+00,1.81,342.61,3.82E-06,,6.80E-06,0.000,2.422E-05,1.96E-05,87.6,,,,,,,,,,
,,,,,,,,9.748E-02,3.474E-05,2.057E-06,2.36E-05,,3.27E-06,0.00E+00,0.00E+00,1.81,344.42,3.82E-06,,8.48E-06,0.000,2.638E-05,2.05E-05,62.8,,,,,,,,,,
,,,,,,,,9.845E-02,3.025E-05,1.864E-06,2.21E-05,,3.34E-06,0.00E+00,0.00E+00,1.81,344.42,3.85E-06,,1.31E-05,0.000,2.889E-05,2.15E-05,41.2,,,,,,,,,,
,,,,,,,,9.944E-02,2.049E-05,1.702E-06,2.09E-05,,3.40E-06,0.00E+00,0.00E+00,1.81,346.23,3.85E-06,,1.77E-05,0.000,2.955E-05,2.23E-05,18.4,,,,,,,,,,
,,,,,,,,1.004E-01,1.939E-05,1.640E-06,2.13E-05,,3.46E-06,0.00E+00,0.00E+00,1.81,346.23,3.87E-06,,2.03E-05,0.000,2.692E-05,2.25E-05,1.3,,,,,,,,,,
,,,,,,,,1.014E-01,1.753E-05,1.511E-06,2.33E-05,,3.51E-06,0.00E+00,0.00E+00,1.81,348.04,3.87E-06,,2.05E-05,0.000,2.142E-05,2.21E-05,2.7,,,,,,,,,,
,,,,,,,,1.025E-01,1.424E-05,1.436E-06,2.53E-05,,3.56E-06,0.00E+00,0.00E+00,1.81,348.04,3.89E-06,,1.93E-05,0.000,1.524E-05,2.13E-05,6.1,,,,,,,,,,
,,,,,,,,1.035E-01,1.315E-05,1.374E-06,2.55E-05,,3.61E-06,0.00E+00,0.00E+00,1.81,349.85,3.89E-06,,1.82E-05,0.000,1.129E-05,2.01E-05,16.9,,,,,,,,,,
,,,,,,,,1.045E-01,1.601E-05,1.361E-06,2.29E-05,,3.65E-06,0.00E+00,0.00E+00,1.81,349.85,3.89E-06,,1.85E-05,0.000,1.146E-05,1.90E-05,17.8,,,,,,,,,,
,,,,,,,,1.056E-01,1.367E-05,1.389E-06,1.80E-05,,3.68E-06,0.00E+00,0.00E+00,1.81,351.66,3.89E-06,,2.01E-05,0.000,1.544E-05,1.79E-05,1.9,,,,,,,,,,
,,,,,,,,1.066E-01,1.241E-05,1.259E-06,1.28E-05,,3.71E-06,0.00E+00,0.00E+00,1.81,351.66,3.88E-06,,2.18E-05,0.000,2.073E-05,1.70E-05,5.9,,,,,,,,,,
,,,,,,,,1.077E-01,1.035E-05,1.194E-06,9.80E-06,,3.73E-06,0.00E+00,0.00E+00,1.81,353.47,3.88E-06,,2.21E-05,0.000,2.402E-05,1.64E-05,10.2,,,,,,,,,,
,,,,,,,,1.088E-01,7.775E-06,1.142E-06,1.04E-05,,3.75E-06,0.00E+00,0.00E+00,1.81,353.47,3.86E-06,,1.99E-05,0.000,2.315E-05,1.60E-05,22.1,,,,,,,,,,
,,,,,,,,1.098E-01,8.444E-06,1.071E-06,1.40E-05,,3.77E-06,0.00E+00,0.00E+00,1.81,355.28,3.86E-06,,1.58E-05,0.000,1.845E-05,1.56E-05,46.8,,,,,,,,,,
,,,,,,,,1.109E-01,8.410E-06,1.091E-06,1.85E-05,,3.78E-06,0.00E+00,0.00E+00,1.81,355.28,3.83E-06,,1.14E-05,0.000,1.262E-05,1.53E-05,40.4,,,,,,,,,,
,,,,,,,,1.120E-01,6.513E-06,1.039E-06,2.10E-05,,3.79E-06,0.00E+00,0.00E+00,1.81,357.09,3.83E-06,,8.69E-06,0.000,9.045E-06,1.49E-05,35.5,,,,,,,,,,
,,,,,,,,1.132E-01,7.495E-06,1.027E-06,1.98E-05,,3.80E-06,0.00E+00,0.00E+00,1.81,357.09,3.79E-06,,9.03E-06,0.000,9.656E-06,1.46E-05,59.9,,,,,,,,,,
,,,,,,,,1.143E-01,6.899E-06,1.014E-06,1.55E-05,,3.81E-06,0.00E+00,0.00E+00,1.81,358.90,3.79E-06,,1.20E-05,0.000,1.360E-05,1.42E-05,42.0,,,,,,,,,,
,,,,,,,,1.154E-01,6.715E-06,9.750E-07,1.06E-05,,3.81E-06,0.00E+00,0.00E+00,1.81,358.90,3.74E-06,,1.59E-05,0.000,1.778E-05,1.37E-05,44.9,,,,,,,,,,
,,,,,,,,1.166E-01,4.719E-06,9.906E-07,7.86E-06,,3.82E-06,0.00E+00,0.00E+00,1.81,360.71,3.74E-06,,1.81E-05,0.000,1.894E-05,1.32E-05,44.0,,,,,,,,,,
,,,,,,,,1.178E-01,6.768E-06,9.125E-07,8.78E-06,,3.82E-06,0.00E+00,0.00E+00,1.81,360.71,3.68E-06,,1.72E-05,0.000,1.590E-05,1.27E-05,64.3,,,,,,,,,,
,,,,,,,,1.189E-01,5.259E-06,8.739E-07,1.23E-05,,3.82E-06,0.00E+00,0.00E+00,0.90,362.52,3.68E-06,,1.36E-05,0.000,1.050E-05,1.22E-05,35.4,,,,,,,,,,
,,,,,,,,1.201E-01,5.871E-06,8.520E-07,1.57E-05,,3.82E-06,0.00E+00,0.00E+00,0.90,362.52,3.60E-06,,9.40E-06,0.000,6.327E-06,1.18E-05,55.9,,,,,,,,,,
,,,,,,,,1.213E-01,7.028E-06,8.591E-07,1.63E-05,,3.82E-06,0.00E+00,0.00E+00,1.81,364.33,3.60E-06,,6.96E-06,0.000,6.202E-06,1.14E-05,42.6,,,,,,,,,,
,,,,,,,,1.225E-01,6.123E-06,8.402E-07,1.33E-05,,3.82E-06,0.00E+00,0.00E+00,1.81,364.33,3.52E-06,,7.60E-06,0.000,1.014E-05,1.11E-05,22.4,,,,,,,,,,
,,,,,,,,1.238E-01,4.942E-06,8.451E-07,8.63E-06,,3.82E-06,0.00E+00,0.00E+00,1.81,366.14,3.52E-06,,1.05E-05,0.000,1.526E-05,1.08E-05,30.5,,,,,,,,,,
,,,,,,,,1.250E-01,5.704E-06,8.284E-07,5.35E-06,,3.82E-06,0.00E+00,0.00E+00,1.81,366.14,3.43E-06,,1.35E-05,0.000,1.782E-05,1.05E-05,43.2,,,,,,,,,,
,,,,,,,,1.263E-01,5.261E-06,8.032E-07,5.68E-06,,3.81E-06,0.00E+00,0.00E+00,1.81,367.95,3.43E-06,,1.41E-05,0.000,1.587E-05,1.03E-05,31.1,,,,,,,,,,
,,,,,,,,1.275E-01,4.233E-06,7.764E-07,9.31E-06,,3.80E-06,0.00E+00,0.00E+00,1.81,367.95,3.33E-06,,1.17E-05,0.000,1.054E-05,1.02E-05,37.9,,,,,,,,,,
,,,,,,,,1.288E-01,4.349E-06,7.322E-07,1.36E-05,,3.80E-06,0.00E+00,0.00E+00,1.81,369.76,3.33E-06,,7.67E-06,0.000,5.042E-06,9.97E-06,54.6,,,,,,,,,,
,,,,,,,,1.301E-01,4.973E-06,7.260E-07,1.54E-05,,3.78E-06,0.00E+00,0.00E+00,1.81,369.76,3.23E-06,,4.75E-06,0.000,2.138E-06,9.40E-06,47.6,,,,,,,,,,
,,,,,,,,1.314E-01,5.410E-06,7.772E-07,1.32E-05,,3.77E-06,0.00E+00,0.00E+00,1.81,371.57,3.23E-06,,4.86E-06,0.000,2.256E-06,8.39E-06,22.2,,,,,,,,,,
,,,,,,,,1.327E-01,5.241E-06,7.203E-07,8.46E-06,,3.75E-06,0.00E+00,0.00E+00,1.81,371.57,3.15E-06,,7.85E-06,0.000,3.582E-06,7.09E-06,4.7,,,,,,,,,,
,,,,,,,,1.340E-01,4.951E-06,7.558E-07,3.89E-06,,3.72E-06,0.00E+00,0.00E+00,1.81,372.47,3.15E-06,,1.15E-05,0.000,3.971E-06,5.82E-06,0.6,,,,,,,,,,
,,,,,,,,1.354E-01,5.864E-06,7.196E-07,1.72E-06,,3.69E-06,0.00E+00,0.00E+00,1.81,372.47,3.12E-06,,1.31E-05,0.000,2.861E-06,4.86E-06,0.0,,,,,,,,,,
,,,,,,,,1.367E-01,3.996E-06,6.860E-07,2.06E-06,,3.66E-06,0.00E+00,0.00E+00,1.81,373.23,3.12E-06,,1.14E-05,0.000,1.492E-06,4.26E-06,4.9,,,,,,,,,,
,,,,,,,,1.381E-01,5.571E-06,6.775E-07,3.20E-06,,3.62E-06,0.00E+00,0.00E+00,1.81,373.23,3.06E-06,,7.42E-06,0.000,1.390E-06,3.80E-06,0.1,,,,,,,,,,
,,,,,,,,1.395E-01,2.868E-06,6.915E-07,3.39E-06,,3.58E-06,0.00E+00,0.00E+00,1.81,374.75,3.06E-06,,3.45E-06,0.000,2.691E-06,3.23E-06,12.0,,,,,,,,,,
,,,,,,,,1.409E-01,5.410E-06,6.730E-07,2.33E-06,,3.53E-06,0.00E+00,0.00E+00,1.81,374.75,2.97E-06,,1.49E-06,0.000,4.012E-06,2.54E-06,0.2,,,,,,,,,,
,,,,,,,,1.423E-01,4.610E-06,6.634E-07,1.21E-06,,3.47E-06,0.00E+00,0.00E+00,1.81,376.27,2.97E-06,,1.71E-06,0.000,3.943E-06,2.02E-06,25.4,,,,,,,,,,
,,,,,,,,1.437E-01,4.447E-06,6.851E-07,1.28E-06,,3.41E-06,0.00E+00,0.00E+00,1.81,376.27,2.89E-06,,2.71E-06,0.000,2.557E-06,1.95E-06,16.0,,,,,,,,,,
,,,,,,,,1.451E-01,4.424E-06,6.402E-07,2.48E-06,,3.34E-06,0.00E+00,0.00E+00,1.81,377.79,2.89E-06,,2.93E-06,0.000,1.324E-06,2.30E-06,9.8,,,,,,,,,,
,,,,,,,,1.466E-01,4.967E-06,6.494E-07,3.54E-06,,3.28E-06,0.00E+00,0.00E+00,1.81,377.79,2.81E-06,,2.06E-06,0.000,1.496E-06,2.66E-06,7.6,,,,,,,,,,
,,,,,,,,1.480E-01,3.006E-06,6.232E-07,3.33E-06,,3.21E-06,0.00E+00,0.00E+00,1.81,379.30,2.81E-06,,1.07E-06,0.000,2.747E-06,2.62E-06,13.0,,,,,,,,,,
,,,,,,,,1.495E-01,3.041E-06,6.310E-07,2.08E-06,,3.15E-06,0.00E+00,0.00E+00,0.90,379.30,2.74E-06,,1.07E-06,0.000,3.567E-06,2.20E-06,1.7,,,,,,,,,,
,,,,,,,,1.510E-01,5.399E-06,6.075E-07,1.10E-06,,3.11E-06,0.00E+00,0.00E+00,0.76,380.82,2.74E-06,,2.07E-06,0.000,2.993E-06,1.82E-06,3.8,,,,,,,,,,
,,,,,,,,1.525E-01,4.270E-06,6.181E-07,1.39E-06,,3.06E-06,0.00E+00,0.00E+00,1.52,380.82,2.67E-06,,3.02E-06,0.000,1.691E-06,1.87E-06,33.7,,,,,,,,,,
,,,,,,,,1.541E-01,5.482E-06,6.419E-07,2.49E-06,,2.99E-06,0.00E+00,0.00E+00,1.52,382.34,2.67E-06,,2.91E-06,0.000,1.142E-06,2.26E-06,10.6,,,,,,,,,,
,,,,,,,,1.556E-01,4.769E-06,6.149E-07,3.10E-06,,2.93E-06,0.00E+00,0.00E+00,1.52,382.34,2.61E-06,,1.86E-06,0.000,1.883E-06,2.48E-06,21.8,,,,,,,,,,
,,,,,,,,1.572E-01,5.522E-06,5.980E-07,2.49E-06,,2.87E-06,0.00E+00,0.00E+00,1.52,383.86,2.61E-06,,9.79E-07,0.000,2.894E-06,2.21E-06,17.3,,,,,,,,,,
,,,,,,,,1.587E-01,4.593E-06,5.813E-07,1.38E-06,,2.80E-06,0.00E+00,0.00E+00,1.52,383.86,2.56E-06,,1.15E-06,0.000,2.885E-06,1.70E-06,40.9,,,,,,,,,,
,,,,,,,,1.603E-01,4.616E-06,6.059E-07,1.02E-06,,2.74E-06,0.00E+00,0.00E+00,1.52,385.38,2.56E-06,,2.09E-06,0.000,1.872E-06,1.50E-06,28.3,,,,,,,,,,
,,,,,,,,1.619E-01,3.941E-06,5.837E-07,1.73E-06,,2.68E-06,0.00E+00,0.00E+00,1.52,385.38,2.52E-06,,2.66E-06,0.000,1.095E-06,1.80E-06,21.5,,,,,,,,,,
,,,,,,,,1.635E-01,4.586E-06,6.052E-07,2.55E-06,,2.62E-06,0.00E+00,0.00E+00,1.52,386.90,2.52E-06,,2.20E-06,0.000,1.397E-06,2.18E-06,9.1,,,,,,,,,,
,,,,,,,,1.652E-01,3.031E-06,6.206E-07,2.44E-06,,2.56E-06,0.00E+00,0.00E+00,1.52,386.90,2.48E-06,,1.24E-06,0.000,2.171E-06,2.07E-06,17.2,,,,,,,,,,
,,,,,,,,1.668E-01,3.881E-06,6.310E-07,1.54E-06,,2.50E-06,0.00E+00,0.00E+00,1.52,388.41,2.48E-06,,8.71E-07,0.000,2.245E-06,1.55E-06,5.7,,,,,,,,,,
,,,,,,,,1.685E-01,3.393E-06,5.940E-07,9.43E-07,,2.44E-06,0.00E+00,0.00E+00,1.52,388.41,2.46E-06,,1.44E-06,0.000,1.470E-06,1.20E-06,18.1,,,,,,,,,,
,,,,,,,,1.702E-01,3.670E-06,5.755E-07,1.28E-06,,2.39E-06,0.00E+00,0.00E+00,1.52,389.93,2.46E-06,,2.17E-06,0.000,8.590E-07,1.40E-06,11.3,,,,,,,,,,
,,,,,,,,1.719E-01,3.868E-06,5.602E-07,1.92E-06,,2.33E-06,0.00E+00,0.00E+00,1.52,389.93,2.44E-06,,2.13E-06,0.000,1.124E-06,1.77E-06,10.9,,,,,,,,,,
,,,,,,,,1.736E-01,4.171E-06,5.506E-07,1.89E-06,,2.27E-06,0.00E+00,0.00E+00,1.52,391.45,2.44E-06,,1.38E-06,0.000,1.704E-06,1.72E-06,14.7,,,,,,,,,,
,,,,,,,,1.753E-01,3.554E-06,5.600E-07,1.20E-06,,2.22E-06,0.00E+00,0.00E+00,1.52,391.45,2.43E-06,,8.30E-07,0.000,1.651E-06,1.22E-06,28.8,,,,,,,,,,
,,,,,,,,1.771E-01,4.681E-06,5.126E-07,7.34E-07,,2.16E-06,0.00E+00,0.00E+00,1.52,392.97,2.43E-06,,1.07E-06,0.000,1.026E-06,8.91E-07,22.6,,,,,,,,,,
,,,,,,,,1.789E-01,3.346E-06,5.244E-07,1.02E-06,,2.10E-06,0.00E+00,0.00E+00,1.52,392.97,2.43E-06,,1.62E-06,0.000,7.383E-07,1.10E-06,48.8,,,,,,,,,,
,,,,,,,,1.806E-01,2.057E-06,5.169E-07,1.50E-06,,2.04E-06,0.00E+00,0.00E+00,1.52,394.49,2.43E-06,,1.64E-06,0.000,1.118E-06,1.44E-06,13.2,,,,,,,,,,
,,,,,,,,1.825E-01,3.134E-06,4.988E-07,1.38E-06,,1.98E-06,0.00E+00,0.00E+00,1.52,394.49,2.44E-06,,1.07E-06,0.000,1.453E-06,1.32E-06,2.0,,,,,,,,,,
,,,,,,,,1.843E-01,2.754E-06,4.872E-07,8.41E-07,,1.92E-06,0.00E+00,0.00E+00,1.52,396.01,2.44E-06,,6.39E-07,0.000,1.162E-06,8.71E-07,20.6,,,,,,,,,,
,,,,,,,,1.861E-01,2.083E-06,4.676E-07,6.52E-07,,1.86E-06,0.00E+00,0.00E+00,1.52,396.01,2.46E-06,,8.48E-07,0.000,7.022E-07,7.13E-07,17.5,,,,,,,,,,
,,,,,,,,1.880E-01,2.662E-06,4.939E-07,1.01E-06,,1.82E-06,0.00E+00,0.00E+00,0.76,397.53,2.46E-06,,1.26E-06,0.000,7.639E-07,1.01E-06,5.3,,,,,,,,,,
,,,,,,,,1.899E-01,2.420E-06,4.584E-07,1.25E-06,,1.82E-06,0.00E+00,0.00E+00,0.76,397.53,2.48E-06,,1.21E-06,0.000,1.133E-06,1.21E-06,8.6,,,,,,,,,,
,,,,,,,,1.918E-01,2.177E-06,4.628E-07,9.60E-07,,1.78E-06,0.00E+00,0.00E+00,1.52,399.04,2.48E-06,,7.50E-07,0.000,1.107E-06,9.44E-07,10.4,,,,,,,,,,
,,,,,,,,1.937E-01,2.559E-06,4.627E-07,5.91E-07,,1.75E-06,0.00E+00,0.00E+00,1.52,399.04,2.51E-06,,5.55E-07,0.000,7.114E-07,6.12E-07,11.4,,,,,,,,,,
,,,,,,,,1.956E-01,2.061E-06,4.554E-07,6.88E-07,,1.71E-06,0.00E+00,0.00E+00,1.52,400.56,2.51E-06,,8.36E-07,0.000,5.981E-07,7.03E-07,16.1,,,,,,,,,,
,,,,,,,,1.976E-01,1.347E-06,4.409E-07,9.92E-07,,1.69E-06,0.00E+00,0.00E+00,1.52,400.56,2.54E-06,,1.07E-06,0.000,8.720E-07,9.81E-07,5.6,,,,,,,,,,
,,,,,,,,1.995E-01,1.234E-06,4.422E-07,9.27E-07,,1.67E-06,0.00E+00,0.00E+00,1.52,402.08,2.54E-06,,8.47E-07,0.000,9.499E-07,9.13E-07,1.0,,,,,,,,,,
,,,,,,,,2.015E-01,1.111E-06,4.433E-07,5.89E-07,,1.66E-06,0.00E+00,0.00E+00,1.52,402.08,2.58E-06,,5.20E-07,0.000,6.586E-07,5.89E-07,2.1,,,,,,,,,,
,,,,,,,,2.036E-01,8.414E-07,4.490E-07,5.31E-07,,1.66E-06,0.00E+00,0.00E+00,1.52,403.60,2.58E-06,,5.74E-07,0.000,5.176E-07,5.38E-07,1.7,,,,,,,,,,
,,,,,,,,2.056E-01,1.500E-06,4.330E-07,7.70E-07,,1.67E-06,0.00E+00,0.00E+00,1.52,403.60,2.62E-06,,8.35E-07,0.000,7.277E-07,7.76E-07,0.0,,,,,,,,,,
,,,,,,,,2.076E-01,7.565E-07,4.624E-07,8.02E-07,,1.69E-06,0.00E+00,0.00E+00,1.52,405.12,2.62E-06,,8.06E-07,0.000,8.209E-07,8.08E-07,2.6,,,,,,,,,,
,,,,,,,,2.097E-01,8.731E-07,4.266E-07,5.44E-07,,1.73E-06,0.00E+00,0.00E+00,1.52,405.12,2.66E-06,,5.22E-07,0.000,6.030E-07,5.53E-07,0.2,,,,,,,,,,
,,,,,,,,2.118E-01,3.959E-07,4.312E-07,4.55E-07,,1.78E-06,0.00E+00,0.00E+00,1.52,405.88,2.66E-06,,4.48E-07,0.000,5.019E-07,4.65E-07,0.9,,,,,,,,,,
,,,,,,,,2.139E-01,1.480E-06,4.433E-07,6.43E-07,,1.84E-06,0.00E+00,0.00E+00,1.52,405.88,2.66E-06,,6.43E-07,0.000,6.737E-07,6.51E-07,0.3,,,,,,,,,,
,,,,,,,,2.161E-01,1.381E-07,4.336E-07,6.96E-07,,1.92E-06,0.00E+00,0.00E+00,1.52,406.64,2.66E-06,,6.91E-07,0.000,7.117E-07,6.99E-07,3.1,,,,,,,,,,
,,,,,,,,2.182E-01,1.665E-06,4.032E-07,5.03E-07,,2.01E-06,0.00E+00,0.00E+00,1.52,406.64,2.70E-06,,4.81E-07,0.000,5.122E-07,5.00E-07,0.7,,,,,,,,,,
,,,,,,,,2.204E-01,9.128E-08,4.198E-07,4.41E-07,,2.12E-06,0.00E+00,0.00E+00,1.52,408.15,2.70E-06,,3.86E-07,0.000,4.617E-07,4.32E-07,9.3,,,,,,,,,,
,,,,,,,,2.226E-01,7.124E-07,4.081E-07,5.90E-07,,2.24E-06,0.00E+00,0.00E+00,1.52,408.15,2.74E-06,,5.36E-07,0.000,5.980E-07,5.79E-07,1.3,,,,,,,,,,
,,,,,,,,2.249E-01,5.568E-07,4.002E-07,5.99E-07,,2.37E-06,0.00E+00,0.00E+00,1.52,409.67,2.74E-06,,5.98E-07,0.000,5.660E-07,5.90E-07,0.1,,,,,,,,,,
,,,,,,,,2.271E-01,2.070E-07,3.935E-07,4.28E-07,,2.51E-06,0.00E+00,0.00E+00,1.52,409.67,2.79E-06,,4.43E-07,0.000,4.088E-07,4.27E-07,0.1,,,,,,,,,,
,,,,,,,,2.294E-01,1.323E-06,3.967E-07,4.05E-07,,2.66E-06,0.00E+00,0.00E+00,1.52,411.19,2.79E-06,,3.74E-07,0.000,4.342E-07,4.05E-07,0.3,,,,,,,,,,
,,,,,,,,2.317E-01,7.649E-07,3.823E-07,5.17E-07,,2.82E-06,0.00E+00,0.00E+00,1.52,411.19,2.84E-06,,4.93E-07,0.000,5.173E-07,5.11E-07,4.2,,,,,,,,,,
,,,,,,,,2.340E-01,1.026E-06,4.272E-07,4.71E-07,,2.98E-06,0.00E+00,0.00E+00,1.52,412.71,2.84E-06,,5.15E-07,0.000,4.226E-07,4.70E-07,0.6,,,,,,,,,,
,,,,,,,,2.363E-01,7.789E-07,3.815E-07,3.45E-07,,3.10E-06,0.00E+00,0.00E+00,0.76,412.71,2.88E-06,,3.74E-07,0.000,3.441E-07,3.52E-07,2.5,,,,,,,,,,
,,,,,,,,2.387E-01,1.036E-06,3.925E-07,3.80E-07,,3.18E-06,0.00E+00,0.00E+00,0.90,414.23,2.88E-06,,3.40E-07,0.000,4.191E-07,3.80E-07,1.1,,,,,,,,,,
,,,,,,,,2.411E-01,1.161E-06,3.751E-07,4.39E-07,,3.34E-06,0.00E+00,0.00E+00,1.81,414.23,2.92E-06,,4.32E-07,0.000,4.179E-07,4.32E-07,2.4,,,,,,,,,,
,,,,,,,,2.435E-01,7.719E-07,3.968E-07,3.50E-07,,3.53E-06,0.00E+00,0.00E+00,1.81,415.75,2.92E-06,,4.06E-07,0.000,3.163E-07,3.56E-07,4.6,,,,,,,,,,
,,,,,,,,2.459E-01,6.433E-07,3.892E-07,2.96E-07,,3.72E-06,0.00E+00,0.00E+00,1.81,415.75,2.96E-06,,2.98E-07,0.000,3.261E-07,3.04E-07,1.4,,,,,,,,,,
,,,,,,,,2.484E-01,-1.301E-07,3.983E-07,3.61E-07,,3.91E-06,0.00E+00,0.00E+00,1.81,417.27,2.96E-06,,3.15E-07,0.000,3.660E-07,3.51E-07,0.6,,,,,,,,,,
,,,,,,,,2.509E-01,2.244E-07,3.781E-07,3.48E-07,,4.08E-06,0.00E+00,0.00E+00,1.81,417.27,2.99E-06,,3.69E-07,0.000,3.039E-07,3.42E-07,1.4,,,,,,,,,,
,,,,,,,,2.534E-01,2.592E-07,3.849E-07,2.65E-07,,4.23E-06,0.00E+00,0.00E+00,1.81,418.78,2.99E-06,,3.02E-07,0.000,2.895E-07,2.81E-07,0.0,,,,,,,,,,
,,,,,,,,2.559E-01,7.878E-07,3.485E-07,2.82E-07,,4.38E-06,0.00E+00,0.00E+00,1.81,418.78,3.02E-06,,2.49E-07,0.000,3.369E-07,2.87E-07,0.0,,,,,,,,,,
,,,,,,,,2.585E-01,2.981E-07,3.957E-07,3.08E-07,,4.50E-06,0.00E+00,0.00E+00,1.81,420.30,3.02E-06,,2.99E-07,0.000,2.924E-07,3.02E-07,1.9,,,,,,,,,,
,,,,,,,,2.610E-01,9.123E-07,4.057E-07,2.53E-07,,4.62E-06,0.00E+00,0.00E+00,1.81,420.30,3.05E-06,,2.96E-07,0.000,2.438E-07,2.62E-07,0.0,,,,,,,,,,
,,,,,,,,2.637E-01,-3.354E-07,5.121E-07,2.49E-07,,4.71E-06,0.00E+00,0.00E+00,1.81,421.82,3.05E-06,,2.27E-07,0.000,2.728E-07,2.49E-07,2.7,,,,,,,,,,
,,,,,,,,2.663E-01,3.442E-07,4.752E-07,2.84E-07,,4.79E-06,0.00E+00,0.00E+00,1.81,421.82,3.07E-06,,2.33E-07,0.000,2.533E-07,2.63E-07,1.4,,,,,,,,,,
,,,,,,,,2.690E-01,1.462E-06,5.742E-07,2.40E-07,,4.86E-06,0.00E+00,0.00E+00,1.81,423.34,3.07E-06,,2.58E-07,0.000,2.120E-07,2.37E-07,0.1,,,,,,,,,,
,,,,,,,,,,,,,4.92E-06,0.00E+00,0.00E+00,1.81,423.34,3.09E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.96E-06,0.00E+00,0.00E+00,1.81,424.86,3.09E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.00E-06,0.00E+00,0.00E+00,1.81,424.86,3.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.02E-06,0.00E+00,0.00E+00,1.81,426.38,3.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.04E-06,0.00E+00,0.00E+00,1.81,426.38,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.06E-06,0.00E+00,0.00E+00,1.81,427.89,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.07E-06,0.00E+00,0.00E+00,1.81,427.89,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.08E-06,0.00E+00,0.00E+00,1.81,429.41,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.08E-06,0.00E+00,0.00E+00,1.81,429.41,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.08E-06,0.00E+00,0.00E+00,0.90,430.93,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.08E-06,0.00E+00,0.00E+00,0.90,430.93,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.08E-06,0.00E+00,0.00E+00,1.81,432.45,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.07E-06,0.00E+00,0.00E+00,1.81,432.45,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.06E-06,0.00E+00,0.00E+00,1.81,433.97,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.04E-06,0.00E+00,0.00E+00,1.81,433.97,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.03E-06,0.00E+00,0.00E+00,1.81,435.49,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.00E-06,0.00E+00,0.00E+00,1.81,435.49,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.97E-06,0.00E+00,0.00E+00,1.81,437.01,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.94E-06,0.00E+00,0.00E+00,1.81,437.01,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.89E-06,0.00E+00,0.00E+00,1.81,438.52,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.83E-06,0.00E+00,0.00E+00,1.81,438.52,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.76E-06,0.00E+00,0.00E+00,1.81,439.28,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.68E-06,0.00E+00,0.00E+00,1.81,439.28,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.59E-06,0.00E+00,0.00E+00,1.81,440.19,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.48E-06,0.00E+00,0.00E+00,1.81,440.19,3.14E-06,,,,,,,,,,,,,,,,
